frameIndex;frameTime;pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13];pcm_fftMag_mfcc[14];pcm_fftMag_mfcc[15];pcm_fftMag_mfcc[16]
299;2.996780;2.636140e+000;5.673899e+000;1.211911e+001;6.853609e+000;1.994745e+000;8.159716e+000;4.913335e+000;-1.039335e+001;-1.617523e+001;-1.939679e+001;-1.305433e+001;-6.279100e+000;-8.473798e+000;9.902109e+000;1.022769e+001;3.370906e+000
300;3.006803;6.555052e+000;9.175432e+000;2.179794e+000;6.671347e+000;4.308845e+000;9.179589e+000;-3.755912e+000;-4.669755e+000;-1.236882e+001;-9.918990e+000;-1.440351e+001;6.660394e-001;-2.343187e+000;6.514212e+000;6.173665e+000;9.104063e+000
301;3.016825;7.020391e+000;8.890876e+000;5.362574e+000;8.163196e+000;7.274450e+000;1.238078e+000;-1.003905e+001;-1.661750e+000;-9.885303e+000;-1.406855e+001;4.678623e+000;2.675329e+000;5.404048e+000;6.922360e+000;5.147402e+000;2.854497e+000
302;3.026848;7.873142e+000;5.722434e+000;9.642417e+000;5.333513e+000;1.287723e+000;-1.733659e+000;-4.023033e+000;-7.593574e+000;-2.032584e+000;2.212759e+000;5.658522e+000;8.360469e-001;3.874673e+000;6.874887e+000;9.151862e+000;1.563135e+000
303;3.036871;1.125101e+001;1.867517e+000;8.213490e+000;5.111426e+000;-1.018826e+001;-4.854480e+000;-3.434243e+000;-5.931289e+000;-5.750812e+000;-1.665479e+000;6.494569e+000;8.847582e+000;9.481786e+000;5.468812e+000;4.344831e+000;1.607084e+000
304;3.046893;9.729668e+000;4.214937e+000;6.641271e+000;1.133566e+000;-5.588911e+000;-6.926852e+000;-1.002005e+001;-8.343695e+000;-7.194289e+000;3.024704e+000;4.182470e+000;6.819551e+000;2.205811e+000;6.872439e+000;7.045127e+000;1.758551e+000
305;3.056916;8.049124e+000;2.964852e+000;8.511669e+000;4.493755e+000;1.547181e+000;7.337670e-001;-1.406135e+001;-1.158182e+001;-1.268210e+001;-5.356314e+000;5.119927e+000;5.409401e+000;1.302651e+001;8.542198e+000;3.470874e+000;1.636273e+000
306;3.066939;1.037553e+001;1.803846e+000;1.567198e+001;9.588622e+000;4.394395e+000;-2.747520e+000;-6.462120e+000;8.457916e-001;-3.604522e+000;8.156906e+000;1.777628e+000;-1.302945e+000;1.355772e+001;3.222724e+000;-7.386165e+000;-5.275676e+000
307;3.076961;1.301004e+001;7.743804e+000;1.534968e+001;3.917284e+000;9.581742e+000;5.354462e+000;7.532990e+000;6.195078e+000;1.542757e-001;1.718876e+001;2.617140e-001;4.518460e+000;4.497879e+000;4.172752e+000;1.670562e+000;-1.342003e+000
308;3.086984;4.979177e+000;3.355798e+000;1.844580e+001;1.381890e+001;6.598118e+000;3.827723e+000;5.344684e+000;1.611861e+000;2.391250e+000;1.372618e+001;7.645866e+000;5.479991e+000;9.937085e-001;2.590199e-001;3.598274e-001;9.196761e-001
